OBJECTID,id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
5141,B0FFFZR4TQ,[],健康坊体验中心(暂停营业),医疗保健服务;医疗保健服务场所;医疗保健服务场所,欧高路226号附近,13533935.37,3678571.249,090000,310000,上海市,21,上海市,310115,浦东新区,
5142,B0FFKN2CUL,[],24H成人用品(无人自助),医疗保健服务;医疗保健服务场所;医疗保健服务场所,大同路与王家街交叉口北50米,13534231.37,3678064.056,090000,310000,上海市,21,上海市,310115,浦东新区,
5143,B0FFLD9U57,[],高桥社区卫生服务中心-预防接种门诊,医疗保健服务;诊所;诊所,欧高公路与同港路交叉路口南侧,13534001.16,3678342.091,090300,310000,上海市,21,上海市,310115,浦东新区,
5144,B0FFIB85SU,[],上海徳清生物科技灰指甲,医疗保健服务;医疗保健服务场所;医疗保健服务场所,大同路与王家街交叉口东北50米,13534223.58,3678031.209,090000,310000,上海市,21,上海市,310115,浦东新区,
5145,B0FFKMYQPT,[],益丰大药房(汇美店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,花山路696号1层,13533865.69,3678022.606,090000,310000,上海市,21,上海市,310115,浦东新区,
5146,B00156ZGVP,[],金家村中心卫生室,医疗保健服务;诊所;诊所,车亭公路11号附近,13505456.51,3623889.918,090300,310000,上海市,21,上海市,310117,松江区,
5147,B0G37S7GCC,[],上海仁渡童中医诊所,医疗保健服务;诊所;诊所,联航路1688弄11号蕊源股份,13526820.72,3642751.802,090300,310000,上海市,21,上海市,310112,闵行区,
5148,B0FFG8KNUO,[],上海浦兴社区福苑长者照护之家,体育休闲服务;度假疗养场所;疗养院,长岛路1560弄25号1层,13536766.23,3667134.201,080402,310000,上海市,21,上海市,310115,浦东新区,
5149,B00155ARP9,[],明潭眼科,医疗保健服务;专科医院;眼科医院,江浦路2178号,13527144.77,3669498.261,090203,310000,上海市,21,上海市,310110,杨浦区,
5150,B001570WPW,[],凤城地段医院,医疗保健服务;综合医院;综合医院,延吉西路100号,13527672.43,3669208.965,090100,310000,上海市,21,上海市,310110,杨浦区,
5151,B0HDHMBZGA,[],珍奥(抚顺路店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,[],13527630.35,3669531.086,090000,310000,上海市,21,上海市,310110,杨浦区,
5152,B0FFGE4Y3P,[],控江社区卫生服务中心,医疗保健服务;综合医院;卫生院,延吉西路100号(长岭路延吉西路),13527652.72,3669221.469,090102,310000,上海市,21,上海市,310110,杨浦区,
5153,B0FFHEA9JF,[],上海明潭眼科门诊部,医疗保健服务;专科医院;眼科医院,江浦路2178号,13527142.44,3669502.429,090203,310000,上海市,21,上海市,310110,杨浦区,
5154,B00157HZTO,[],上海赵国和口腔诊所,医疗保健服务;诊所;诊所,黄兴路1009号102室,13528012.95,3669141.884,090300,310000,上海市,21,上海市,310110,杨浦区,
5155,B0FFG1U9KF,[],上海惠生堂中医门诊,医疗保健服务;诊所;诊所,凤城路101-8号,13527824.16,3669127.817,090300,310000,上海市,21,上海市,310110,杨浦区,
5156,B0FFGE4YID,[],银龄康国际养生馆(长岭路店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,长岭路58号,13527566.23,3669272.138,090000,310000,上海市,21,上海市,310110,杨浦区,
5157,B0FFF5LC9J,[],华齿口腔(江浦路),医疗保健服务;专科医院;口腔医院|医疗保健服务;诊所;诊所,江浦路2041号(恒联新天地花园底商),13527149.56,3669294.281,090202|090300,310000,上海市,21,上海市,310110,杨浦区,
5158,B0FFLB06AL,[],杨波采耳修脚上海运营中心(总店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,[],13528113.14,3669561.696,090000,310000,上海市,21,上海市,310110,杨浦区,
5159,B0G0SS05M9,[],沐盐时代矿疗养生馆(江浦路店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,江浦路2017号,13527182.84,3669191.641,090000,310000,上海市,21,上海市,310110,杨浦区,
5160,B0H6L5E1OM,[],尚轩阁采耳,医疗保健服务;医疗保健服务场所;医疗保健服务场所,松花江路1120号-4,13528087.2,3670048.608,090000,310000,上海市,21,上海市,310110,杨浦区,
5161,B0FFK8ZVDL,[],乐健,医疗保健服务;医疗保健服务场所;医疗保健服务场所,江浦路2125号附近,13527104.36,3669460.226,090000,310000,上海市,21,上海市,310110,杨浦区,
5162,B0015578PU,[],建工老年护理医院,医疗保健服务;专科医院;专科医院,虎林路521号,13520625.68,3676850.32,090200,310000,上海市,21,上海市,310113,宝山区,
5163,B0FFHHS961,[],社区卫生,医疗保健服务;诊所;诊所,阮巷村明华1083号附近,13513057.63,3608886.724,090300,310000,上海市,21,上海市,310116,金山区,
5164,B00156GWCQ,[],金山区漕泾镇阮巷村卫生室(朱漕路),医疗保健服务;诊所;诊所,阮巷村明华1083号,13513064.3,3608898.909,090300,310000,上海市,21,上海市,310116,金山区,
5165,B0FFIKJC16,[],上海和睦家丰尚门诊部,医疗保健服务;诊所;诊所,运乐路689号,13500871.59,3659097.116,090300,310000,上海市,21,上海市,310112,闵行区,
5166,B0H6R59VSU,[],德国眼视光中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,运乐路与金辉路交叉路口往东约50米(丰尚国际广场),13500904.32,3659116.768,090000,310000,上海市,21,上海市,310112,闵行区,
5167,B0FFJ7P4WD,B00156NS9Q,PureSmile普诗美尔口腔,医疗保健服务;医疗保健服务场所;医疗保健服务场所,运乐路569弄丰尚国际广场111室,13501037.12,3659193.294,090000,310000,上海市,21,上海市,310112,闵行区,
5168,B0FFK4DP2V,[],金色花朵经络调理馆(金丰路店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,金丰路121弄117号(近幸乐路),13500993.82,3659654.025,090000,310000,上海市,21,上海市,310112,闵行区,
5169,B0FFHO1B5Q,[],快乐家园护理院,医疗保健服务;医疗保健服务场所;医疗保健服务场所,华漕镇金光路259号,13500480.97,3658581.486,090000,310000,上海市,21,上海市,310112,闵行区,
5170,B0HA67C3OI,[],熊猫药站v领地民雷社区店(国大药房庆荣路店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,川沙路718号4幢走廊,13544263.82,3668066.434,090000,310000,上海市,21,上海市,310115,浦东新区,
5171,B0FFLGFYJW,[],曦悦艾馨养生馆,医疗保健服务;医疗保健服务场所;医疗保健服务场所,川沙路501号2楼附近,13544160.85,3668716.877,090000,310000,上海市,21,上海市,310115,浦东新区,
5172,B001557C8W,[],旧港村中心卫生室,医疗保健服务;诊所;诊所,张旧公路1038弄-1-,13505492.69,3604626.206,090300,310000,上海市,21,上海市,310116,金山区,
