OBJECTID,id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
2480,B0FFGY7N8P,[],飞马旅生活广场,风景名胜;公园广场;城市广场,沪太支路538号,13516796.51,3670653.17,110105,310000,上海市,21,上海市,310106,静安区,
2481,B0FFG094AJ,[],吕巷水果公园,风景名胜;公园广场;公园,金石北路3889号,13493498.23,3611485.482,110101,310000,上海市,21,上海市,310116,金山区,
2482,B001546A5F,[],诸翟公园,风景名胜;公园广场;公园,运乐路188号,13501596.95,3659904.441,110101,310000,上海市,21,上海市,310112,闵行区,
2483,B0FFH8MYT9,[],真如镇街道社区文化活动中心,商务住宅;住宅区;社区中心,兰溪路968号,13514276.24,3666052.937,120304,310000,上海市,21,上海市,310107,普陀区,
2484,B00155QWO9,[],海上文化中心,科教文化服务;文化宫;文化宫,平型关路1222号(灵石路口),13520504.23,3669679.84,140800,310000,上海市,21,上海市,310106,静安区,
2485,B0FFH6H3GM,[],明因寺,风景名胜;风景名胜;寺庙道观,练塘镇联农村四农343号,13471323.84,3632120.463,110205,310000,上海市,21,上海市,310118,青浦区,
2486,B00156NS4T,[],康健园,风景名胜;公园广场;公园,冠生园路458号,13516641.11,3654063.429,110101,310000,上海市,21,上海市,310104,徐汇区,
2487,B00155LH61,[],漕河泾公园,风景名胜;公园广场;公园,田林路358号,13514104.03,3655080.8,110101,310000,上海市,21,上海市,310104,徐汇区,
2488,B00154DH42,[],漕河泾开发区公园,风景名胜;公园广场;公园,桂果路601号(近宜山路),13514222.92,3654755.024,110101,310000,上海市,21,上海市,310104,徐汇区,
2489,B00156DC6E,[],中央绿地(北区),风景名胜;公园广场;公园,万里名轩西北,13515066.16,3667547.042,110101,310000,上海市,21,上海市,310107,普陀区,
2490,B00155L0UC,[],桂林公园,风景名胜;公园广场;公园,漕宝路188号(地铁12号线桂林公园站),13516182.03,3654237.755,110101,310000,上海市,21,上海市,310104,徐汇区,
2491,B00155QIM0,[],中国福利会少年宫浦江青少年活动中心,科教文化服务;文化宫;文化宫,浦江镇立跃路3889号,13524887.88,3643819.845,140800,310000,上海市,21,上海市,310112,闵行区,
2492,B0FFIPPOBZ,[],闵行区浦锦街道社区文化活动中心,科教文化服务;文化宫;文化宫,浦锦街道浦锦路400号,13525262.47,3642887.756,140800,310000,上海市,21,上海市,310112,闵行区,
2493,B0FFH7NKPI,[],六灶文化广场,风景名胜;公园广场;城市广场,南六公路与砖桥西路交叉路口南侧,13547484.85,3648256.652,110105,310000,上海市,21,上海市,310115,浦东新区,
2494,B001508245,[],基督教大场堂,风景名胜;风景名胜;教堂,大场镇沪太支路1225号,13516410.68,3671830.727,110206,310000,上海市,21,上海市,310113,宝山区,
2495,B00156R50W,[],南箐园,风景名胜;公园广场;公园,区华青南路100号,13484837.24,3651169.713,110101,310000,上海市,21,上海市,310118,青浦区,
2496,B00155QIWI,[],竹园绿地,风景名胜;公园广场;公园,浦电路399弄7号,13528873.45,3661450.649,110101,310000,上海市,21,上海市,310115,浦东新区,
2497,B00156ZKZB,[],憩园,风景名胜;公园广场;公园,宛平南路600号,13519609.78,3657036.809,110101,310000,上海市,21,上海市,310104,徐汇区,
2498,B00152A03C,[],东安公园(装修中),风景名胜;公园广场;公园,中山南二路811号,13520236.84,3656825.229,110101,310000,上海市,21,上海市,310104,徐汇区,
2499,B0FFGCEBYX,[],基督教葑塘堂,风景名胜;风景名胜;教堂,大场镇锦秋路2320号,13509892.59,3673852.078,110206,310000,上海市,21,上海市,310113,宝山区,
2500,B0FFLF0I7V,[],凌云街道拾艺汇综合文化活动室,科教文化服务;文化宫;文化宫,[],13517018.37,3650084.778,140800,310000,上海市,21,上海市,310104,徐汇区,
2501,B0FFI74HCE,B00153ACEE,童康儿童中心,科教文化服务;文化宫;文化宫,漕溪北路468号宏汇大厦3楼,13518236.65,3657046.959,140800,310000,上海市,21,上海市,310104,徐汇区,
2502,B0GKHL456B,[],六里四居民区艾东苑活动中心,商务住宅;住宅区;社区中心,[],13527466.6,3656151.603,120304,310000,上海市,21,上海市,310115,浦东新区,
2503,B001577E08,B00155R1D5,上海交通大学闵行校区园林树木园,风景名胜;公园广场;植物园,东川路800号上海交通大学闵行校区,13518144.48,3636387.699,110103,310000,上海市,21,上海市,310112,闵行区,
2504,B00156ZLW6,B00155R1D5,上海交通大学闵行校区园林植物标本园,风景名胜;公园广场;植物园,东川路800号上海交通大学闵行校区,13518134.13,3636354.053,110103,310000,上海市,21,上海市,310112,闵行区,
2505,B0FFFA1KY1,[],上海市崇明区文化馆,科教文化服务;文化宫;文化宫,崇明大道7887号,13517561.06,3713326.019,140800,310000,上海市,21,上海市,310151,崇明区,
2506,B0H614O0JL,[],天虹二村健身广场,风景名胜;公园广场;城市广场,中山街道茸梅路47号天虹一村或者天虹二村健身广场,13497116.45,3636365.615,110105,310000,上海市,21,上海市,310117,松江区,
2507,B00156DH9R,[],报恩古寺,风景名胜;风景名胜;寺庙道观,青村镇沿钱公路4366号,13531435.25,3622529.418,110205,310000,上海市,21,上海市,310120,奉贤区,
2508,B0FFM530P8,[],朱店村党建微公园,风景名胜;公园广场;公园,沿钱公路4438号西90米,13531406.97,3622315.702,110101,310000,上海市,21,上海市,310120,奉贤区,
2509,B0FFF2XDEE,[],航头镇长达大型集中绿地,风景名胜;公园广场;公园,航头镇法制主题公园停车场内正西方向100米,13533499.78,3636677.396,110101,310000,上海市,21,上海市,310115,浦东新区,
2510,B0FFGCEKAK,[],梓童莲院,风景名胜;风景名胜;寺庙道观,航头镇长达村汇达396号,13533512.03,3637313.972,110205,310000,上海市,21,上海市,310115,浦东新区,
2511,B00155IQRX,[],衡山公园,风景名胜;公园广场;公园,广元路2号(衡山路宛平路口),13518875.29,3658823.161,110101,310000,上海市,21,上海市,310104,徐汇区,
2512,B00155MMJC,[],凯文绿地,风景名胜;公园广场;公园,天平路,13519035.93,3658788.673,110101,310000,上海市,21,上海市,310104,徐汇区,
2513,B0FFH10C13,B00155ILI8,徐家汇公园-瀑布,风景名胜;公园广场;公园,宛平路与肇嘉浜路交叉路口往西北约150米(徐家汇源),13518999.53,3658478.936,110101,310000,上海市,21,上海市,310104,徐汇区,
