id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
BV10620052,[],华志路新府中路(东)(公交站),交通设施服务;公交车站;公交车站相关,华新5路,121.234528,31.231993,150700,310000,上海市,21,上海市,310118,青浦区,
BV10033944,[],新凤中路华志路(公交站),交通设施服务;公交车站;公交车站相关,74路;华新1路;华新2路;华新3路;华新5路;华新8路;白徐线;白徐线跨线定班(赵屯),121.226799,31.230791,150700,310000,上海市,21,上海市,310118,青浦区,
BV11076539,[],新府中路华雅路(公交站),交通设施服务;公交车站;公交车站相关,773路;华新8路定班线,121.232635,31.227982,150700,310000,上海市,21,上海市,310118,青浦区,
BV10609286,[],新府中路华腾路(南)(公交站),交通设施服务;公交车站;公交车站相关,773路;华新5路;华新8路定班线,121.231186,31.23658,150700,310000,上海市,21,上海市,310118,青浦区,
BV10036147,[],周祝公路申江南路(公交站),交通设施服务;公交车站;公交车站相关,628路;南新专线;周南线;周康4路;周康5路;浦东92路;龙东专线,121.640999,31.104675,150700,310000,上海市,21,上海市,310115,浦东新区,
BV10027057,[],周祝公路申江路(公交站),交通设施服务;公交车站;公交车站相关,南新专线区间车,121.643203,31.107079,150700,310000,上海市,21,上海市,310115,浦东新区,
BV10823649,[],周祝公路申江路(果园桥)(公交站),交通设施服务;公交车站;公交车站相关,南新专线区间车,121.64273,31.107036,150700,310000,上海市,21,上海市,310115,浦东新区,
BV11439174,[],周祝公路申江南路(果园桥)(公交站),交通设施服务;公交车站;公交车站相关,周康4路;浦东92路,121.643225,31.107083,150700,310000,上海市,21,上海市,310115,浦东新区,
BV10034972,[],张家桥(公交站),交通设施服务;公交车站;公交车站相关,890路;嘉定59路,121.233505,31.410439,150700,310000,上海市,21,上海市,310114,嘉定区,
BV10537666,[],嘉唐公路汇旺东路(公交站),交通设施服务;公交车站;公交车站相关,890路;嘉定59路,121.229392,31.41467,150700,310000,上海市,21,上海市,310114,嘉定区,
BV10785618,[],百曲(公交站),交通设施服务;公交车站;公交车站相关,万周专线,121.541875,31.119978,150700,310000,上海市,21,上海市,310115,浦东新区,
BV10031742,[],惠中村(公交站),交通设施服务;公交车站;公交车站相关,堡进线;堡陈北线;崇明乡村8路,121.673569,31.611628,150700,310000,上海市,21,上海市,310151,崇明区,
BV10035465,[],城北路汇旺路(公交站),交通设施服务;公交车站;公交车站相关,嘉定71路;嘉定7路;嘉定7路B线,121.223711,31.405903,150700,310000,上海市,21,上海市,310114,嘉定区,
BV11319387,[],绿意路胜辛北路(公交站),交通设施服务;公交车站;公交车站相关,892路,121.216298,31.400634,150700,310000,上海市,21,上海市,310114,嘉定区,
BV10706773,[],水产路松兰路(公交站),交通设施服务;公交车站;公交车站相关,宝山1路,121.449463,31.368303,150700,310000,上海市,21,上海市,310113,宝山区,
BV10034127,[],水产路杨泰路(公交站),交通设施服务;公交车站;公交车站相关,宝山1路,121.447777,31.367561,150700,310000,上海市,21,上海市,310113,宝山区,
BV10029748,[],北蔡(地铁站),交通设施服务;地铁站;地铁站,13号线,121.552017,31.180131,150500,310000,上海市,21,上海市,310115,浦东新区,
BV10030989,[],莲园路沪南路(公交站),交通设施服务;公交车站;公交车站相关,161路;715路;792路;976路;北蔡1路;徐川专线,121.552055,31.185055,150700,310000,上海市,21,上海市,310115,浦东新区,
BV10032428,[],博华路成山路(公交站),交通设施服务;公交车站;公交车站相关,161路;969路;992路,121.547745,31.181515,150700,310000,上海市,21,上海市,310115,浦东新区,
BV10033129,[],沪南路北中路(公交站),交通设施服务;公交车站;公交车站相关,451路;614路;624路;715路;779路;792路;929路;974路;975路;南新专线;南新专线区间车;周康9路;沪南线;沪南线区间车;浦东35路;浦卫线;龙东专线;龙大专线,121.554443,31.183699,150700,310000,上海市,21,上海市,310115,浦东新区,
