id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
B00156ZGB4,[],亭东村卫生室,医疗保健服务;诊所;诊所,亭虹路316号,121.339215,30.884311,090300,310000,上海市,21,上海市,310116,金山区,
B00155IOEH,[],上海市浦东医院,医疗保健服务;综合医院;综合医院,惠南镇拱为路2800号,121.736902,31.05871,090100,310000,上海市,21,上海市,310115,浦东新区,
B0FFGTI0M7,[],浦东新区南汇精神卫生中心门诊,医疗保健服务;专科医院;精神病医院,拱乐路2759号浦东新区南汇精神卫生中心内,121.737136,31.060763,090210,310000,上海市,21,上海市,310115,浦东新区,
B0FFGTI0M8,[],浦东新区南汇精神卫生中心住院部,医疗保健服务;专科医院;精神病医院,拱乐路2759号浦东新区南汇精神卫生中心内,121.737678,31.060901,090210,310000,上海市,21,上海市,310115,浦东新区,
B0FFK0ARYL,[],南汇精神卫生中心睡眠障碍科,医疗保健服务;专科医院;精神病医院,惠南镇拱乐路2759号(南汇精卫中心),121.737566,31.060577,090210,310000,上海市,21,上海市,310115,浦东新区,
B001570W5I,[],浦东新区南汇精神卫生中心,医疗保健服务;专科医院;精神病医院,惠南镇拱乐路2759号,121.737536,31.060726,090210,310000,上海市,21,上海市,310115,浦东新区,
B0FFLCW8SD,[],浦东血站用血审证处,医疗保健服务;医疗保健服务场所;医疗保健服务场所,浦东医院,121.738461,31.057936,090000,310000,上海市,21,上海市,310115,浦东新区,
B00157GT8S,B001570W5I,浦东新区南汇精神卫生中心-社区药物维持治疗门诊,医疗保健服务;诊所;诊所,拱乐路2759号,121.737401,31.060444,090300,310000,上海市,21,上海市,310115,浦东新区,
B00153114C,[],上海廣德中医门诊部,医疗保健服务;诊所;诊所,浦东南路3670-3674-3678-3680-3682-3684号,121.504303,31.188689,090300,310000,上海市,21,上海市,310115,浦东新区,
B0FFIJRYZ5,[],好邦手磁疗沙灸养生馆,医疗保健服务;医疗保健服务场所;医疗保健服务场所,浦东南路3646号,121.504895,31.189655,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFH4KSHF,B0FFF02MAB,浦东新区女性疾病诊疗所,医疗保健服务;诊所;诊所,雪野路上海地产集团大厦4层,121.505294,31.19367,090300,310000,上海市,21,上海市,310115,浦东新区,
B0G25YRIXP,[],周重兴脊柱侧弯矫正中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,华丰路7-1附近,121.505855,31.193161,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFK7PST7,[],上海市社会医疗机构优势专科,医疗保健服务;医疗保健服务场所;医疗保健服务场所,浦东南路3682附近,121.504377,31.18871,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFL9P4J3,[],洪楚成人用品商店,医疗保健服务;医疗保健服务场所;医疗保健服务场所,新松江路1292弄87一96号一屋71号,121.210732,31.042574,090000,310000,上海市,21,上海市,310117,松江区,
B0FFHOM8GY,[],莱仪堂养生会馆(松江店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,新松江路1177号(靠近东鼎超市),121.212711,31.038476,090000,310000,上海市,21,上海市,310117,松江区,
B0FFFP6TA4,[],莱仪堂灸馆,医疗保健服务;医疗保健服务场所;医疗保健服务场所,新松江路1177号江学路口,121.212758,31.038478,090000,310000,上海市,21,上海市,310117,松江区,
B0FFK23Q8O,B0FFGQ4BQB,睿翊视力矫正中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,新松江路1255弄东鼎购物中心2层,121.211449,31.037517,090000,310000,上海市,21,上海市,310117,松江区,
B0FFK0N836,[],养五年中医诊所,医疗保健服务;医疗保健服务场所;医疗保健服务场所,江学路810弄1号4层,121.213195,31.03841,090000,310000,上海市,21,上海市,310117,松江区,
B0G3XGDQ65,[],嬉游保健用品店,医疗保健服务;医疗保健服务场所;医疗保健服务场所,江学路788弄-21号,121.213265,31.038289,090000,310000,上海市,21,上海市,310117,松江区,
B0FFLEXFUU,[],莱义堂养生会馆直营松江店,医疗保健服务;医疗保健服务场所;医疗保健服务场所,[],121.212617,31.038641,090000,310000,上海市,21,上海市,310117,松江区,
B0G02R52OU,[],顺禧通源养生会所,医疗保健服务;医疗保健服务场所;医疗保健服务场所,方松街道西林北路1761弄47号1-2层,121.215822,31.038154,090000,310000,上海市,21,上海市,310117,松江区,
B0FFKDV87E,[],好药师(达尚店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,徐泾镇乐天路262号(与尚鸿路交叉),121.242163,31.18063,090000,310000,上海市,21,上海市,310118,青浦区,
B0HA5UNJ6E,[],善博艾灸,医疗保健服务;医疗保健服务场所;医疗保健服务场所,上海市松江区石头浜路160号1层,121.218827,31.125183,090000,310000,上海市,21,上海市,310117,松江区,
B0FFK0LY4U,[],老港敬老院,体育休闲服务;度假疗养场所;疗养院,老港镇牛肚支路1012-1号,121.818937,31.040975,080402,310000,上海市,21,上海市,310115,浦东新区,
