id,parent,name,type,address,location,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
B00156E1J6,[],上海市青浦区青少年实践中心,科教文化服务;文化宫;文化宫,赵巷镇佘北公路3499号,"121.194457,31.145517",140800,310000,上海市,021,上海市,310118,青浦区,
B00155F6NT,B00155PXTN,宣桥村社区文化活动服务中心,商务住宅;住宅区;社区中心|科教文化服务;文化宫;文化宫,宣桥镇南宣公路396弄76号,"121.699505,31.018510",120304|140800,310000,上海市,021,上海市,310115,浦东新区,
B0FFG4FAWF,[],浦东牡丹园,风景名胜;公园广场;公园,高行镇兰谷路500号,"121.594973,31.32239",110101,310000,上海市,021,上海市,310115,浦东新区,
B0FFH1Z360,[],惠优玛特社区休闲广场,风景名胜;公园广场;城市广场,行南路353b-05号附近,"121.588278,31.327359",110105,310000,上海市,021,上海市,310115,浦东新区,
B0FFL6ADZK,[],北咸塘浜绿地,风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜,振庭路,"121.591124,31.321578",110101|110200,310000,上海市,021,上海市,310115,浦东新区,
B00157I4QT,[],社区文化活动服务中心(卫亭路店),科教文化服务;文化宫;文化宫,卫民村605号附近,"121.741172,31.097772",140800,310000,上海市,021,上海市,310115,浦东新区,
B0015576OX,[],集心村文化活动中心,科教文化服务;文化宫;文化宫,梅富路518号临附近,"121.414908,31.114986",140800,310000,上海市,021,上海市,310112,闵行区,
B0FFHSCFOL,[],玉兰广场,风景名胜;公园广场;城市广场,市场路13-15号附近,"121.728218,30.941781",110105,310000,上海市,021,上海市,310120,奉贤区,
B0FFFTNUM6,[],天鹏文化广场,风景名胜;公园广场;城市广场,新四平公路与鹏程街交叉口西南100米,"121.728316,30.937521",110105,310000,上海市,021,上海市,310120,奉贤区,
B00156ZJVX,[],新木桥村文化广场,风景名胜;公园广场;城市广场,新凤南路233弄72号,"121.23618,31.201862",110105,310000,上海市,021,上海市,310118,青浦区,
B00156ZKJM,[],新场镇新卫村文化活动中心,科教文化服务;文化宫;文化宫,康新公路508号,"121.641104,31.038180",140800,310000,上海市,021,上海市,310115,浦东新区,
B0FFHR27DH,[],杨家桥滨河绿地,风景名胜;公园广场;公园,交通路4227-4229号,"121.395297,31.266964",110101,310000,上海市,021,上海市,310107,普陀区,
B0FFF0026Z,B00155IPXY,中国国际青少年活动中心(上海),科教文化服务;文化宫;文化宫,绿湖路258弄1-10号,"121.014329,31.105040",140800,310000,上海市,021,上海市,310118,青浦区,
B00155L4UC,[],三泉公园,风景名胜;公园广场;公园,保德路1200号(共和新路口),"121.447052,31.315496",110101,310000,上海市,021,上海市,310106,静安区,
B00156GBBZ,[],上真道院,风景名胜;风景名胜;寺庙道观,新寺镇,"121.493393,30.867680",110205,310000,上海市,021,上海市,310120,奉贤区,
B00154CF4F,[],救恩堂,风景名胜;风景名胜;教堂,耀华路439号,"121.483043,31.173433",110206,310000,上海市,021,上海市,310115,浦东新区,
B00155KIQQ,[],济阳公园,风景名胜;公园广场;公园,耀华路600号(济阳路口),"121.479882,31.169124",110101,310000,上海市,021,上海市,310115,浦东新区,
B0FFIS0R8N,[],罗泾天主堂,风景名胜;风景名胜;教堂,罗泾镇宝丰村柏家宅,"121.352081,31.473910",110206,310000,上海市,021,上海市,310113,宝山区,
B0FFMEBHSM,[],融乐园,风景名胜;公园广场;城市广场,平南路与龙茗路交叉路口往西约100米(东兰世茗雅苑),"121.382410,31.148999",110105,310000,上海市,021,上海市,310112,闵行区,
B0FFF44AZS,[],堡镇市民公园,风景名胜;公园广场;公园,堡镇石岛路280号,"121.621274,31.529385",110101,310000,上海市,021,上海市,310151,崇明区,
B00156ZKIG,[],环东广场,风景名胜;公园广场;城市广场,三灶路与孙浦路交叉口东北100米,"121.658545,31.185738",110105,310000,上海市,021,上海市,310115,浦东新区,
B0G0CPRCBR,[],太浦河白渔荡湿地,风景名胜;公园广场;公园,莲龚路,"120.972869,31.021029",110101,310000,上海市,021,上海市,310118,青浦区,
B00155L2N3,[],泗塘篮球公园,风景名胜;公园广场;公园,共江路152号(近爱晖路),"121.457723,31.330536",110101,310000,上海市,021,上海市,310113,宝山区,
B0FFGZH7P2,[],张庙一条街大型浮雕纪念墙,风景名胜;风景名胜;寺庙道观,长江西路1270-1272号附近,"121.455950,31.337258",110205,310000,上海市,021,上海市,310113,宝山区,
B0FFI9AXTS,[],孙桥中心绿地,风景名胜;公园广场;公园,科农路725号附近,"121.635311,31.170851",110101,310000,上海市,021,上海市,310115,浦东新区,
B0HGH78SAI,[],邬桥城隍庙,风景名胜;风景名胜;寺庙道观,庄行镇张塘村牛桥五组532,"121.364832,30.932996",110205,310000,上海市,021,上海市,310120,奉贤区,
B00156R4F1,[],金光村公园,风景名胜;公园广场;公园,高东镇顾高路1218号3栋,"121.636846,31.295738",110101,310000,上海市,021,上海市,310115,浦东新区,
B0GKZS90VQ,[],新村市民体育公园,风景名胜;公园广场;公园,[],"121.331842,31.828562",110101,310000,上海市,021,上海市,310151,崇明区,
B0FFJRTXFS,[],崇明·新村健康主题公园,风景名胜;公园广场;公园,星村公路2105临西南方向60米,"121.332032,31.828701",110101,310000,上海市,021,上海市,310151,崇明区,
B0FFF5EKZ4,[],新村基督教堂(暂停营业),风景名胜;风景名胜;教堂,新村乡新跃村,"121.332169,31.832968",110206,310000,上海市,021,上海市,310151,崇明区,
B0FFFUEFOC,[],临港滨河文化公园,风景名胜;公园广场;公园,彭平路与池月路交汇处,"121.813058,30.903718",110101,310000,上海市,021,上海市,310115,浦东新区,
B0FFH10KLE,[],泥城镇雷锋志愿者服务广场,风景名胜;公园广场;城市广场,彩云路与鸿音路交叉口西100米,"121.815279,30.898930",110105,310000,上海市,021,上海市,310115,浦东新区,
B0G22UVD41,[],松隐文化广场,风景名胜;公园广场;城市广场,南星村4110号正西方向30米,"121.239580,30.890052",110105,310000,上海市,021,上海市,310116,金山区,
B00156D717,[],车镜公园,风景名胜;公园广场;公园,吕巷镇朱吕公路3858号(近松卫路),"121.235679,30.833479",110101,310000,上海市,021,上海市,310116,金山区,
B00157HJOD,[],沁园湖绿地广场,风景名胜;公园广场;城市广场,清河湾路南100米,"121.097511,31.171103",110105,310000,上海市,021,上海市,310118,青浦区,
B00156DWBV,[],庙行公园,风景名胜;公园广场;公园,刘场路庙行公园(近庙行卫生医疗中心),"121.429189,31.325407",110101,310000,上海市,021,上海市,310113,宝山区,
B0FFK2KBM5,[],基督教堂,风景名胜;风景名胜;教堂,S2沪芦高速附近,"121.820210,30.913347",110206,310000,上海市,021,上海市,310115,浦东新区,
B0FFKZKZ9J,[],达令港公园,风景名胜;公园广场;公园,汇中路与金闸公路交叉口东南500米,"121.509223,30.985216",110101,310000,上海市,021,上海市,310120,奉贤区,
B0FFFPYISQ,[],泰日天主堂,风景名胜;风景名胜;教堂,金汇镇明星村633号,"121.548596,30.983671",110206,310000,上海市,021,上海市,310120,奉贤区,
B0FFL9AM0P,[],人口文化公园,风景名胜;公园广场;公园,瑞林路与栖林路交叉路口往西北约150米,"121.320352,31.299980",110101,310000,上海市,021,上海市,310114,嘉定区,
B00156R4O4,[],百亩公园,风景名胜;公园广场;公园,栖林路与瑞林路交叉口北100米,"121.321522,31.299797",110101,310000,上海市,021,上海市,310114,嘉定区,
