POINT_X,POINT_Y,ID_1
13511961.91,3665313.96,234
13523164.77,3671550.495,235
13521985.34,3672439.025,236
13522123.48,3671660.841,237
13517952.34,3674160.769,238
13529345,3675200.134,239
13525924.04,3666325.881,240
13516025.07,3660592.589,241
13516832.58,3665073.2,242
13546958.97,3661071.075,243
13532531.97,3657071.032,244
13529202.63,3678794.285,245
13526429.1,3672191.872,246
13535998.79,3667646.152,247
13534335.01,3667077.03,248
13513594.3,3659690.338,249
13522896.93,3671908.244,250
13552123.31,3657828.644,251
13530368.7,3663696.57,252
13514112.82,3661583.685,253
13539645.51,3658035.817,254
13519541.43,3666416.516,255
13540992.14,3665233.098,256
13531407.42,3670187.077,257
13547460.8,3634962.31,258
13521211.44,3659833.897,259
13552541.31,3634651.611,260
13532615.68,3652657.071,261
13513870.03,3668164.506,262
13529963.49,3673909.541,263
13529365.93,3673953.063,264
13515039.78,3653680.44,265
13516924.98,3661827.761,266
13516812.21,3661199.811,267
13518656.66,3666968.678,268
13562433.16,3638077.518,269
13510242.69,3661423.443,270
13548538.93,3641742.594,271
13527455.47,3661671.031,272
13529168.9,3674397.667,273
13523663.14,3661505.321,274
13543106.76,3659479.752,275
13528435.3,3669891.251,276
13518788.8,3673089.178,277
13515748.89,3663000.176,278
13527461.92,3656831.604,279
13515802.88,3663870.251,280
13520035.8,3666171.698,281
13516198.73,3652782.337,282
13530515.42,3667628.7,283
13528057.48,3670069.971,284
13534998.03,3641357.909,285
13560761.81,3644922.43,286
13531216.84,3668347.368,287
13531048.86,3667619.323,288
13532084.58,3664843.252,289
13531604.79,3664558.101,290
13515272.33,3660319.512,291
13515637.12,3658304.029,292
13518686.83,3650195.062,293
13532200.9,3665424.25,294
13512219.17,3663704.251,295
13509886.47,3659279.843,296
13519409.07,3654613.476,297
13516788.61,3664642.083,298
13520505.68,3652678.794,299
13520724.42,3663625.614,300
13521484.96,3664337.798,301
13548847.84,3658331.358,302
13518240.99,3652069,303
13552257.11,3643617.72,304
13522591.14,3668407.15,305
13530781.69,3659235.983,306
13550366.46,3653232.941,307
13523174.79,3670777.447,308
13531498.48,3656875.846,309
13515533.48,3656254.785,310
13510898.58,3660824.02,311
13525159.84,3654872.636,312
13520153.69,3672875.888,313
13512826.86,3660138.201,314
13555982.98,3644542.325,315
13526727.66,3668841.916,316
13534596.05,3677894.475,317
13560382.66,3619926.016,318
13538147.59,3676090.884,319
13530565.95,3655060.244,320
13518098.62,3670082.215,321
13527269.34,3668437.107,322
13533590.17,3677146.444,323
13520323,3657046.829,324
13538843.45,3660417.132,325
